P01326            006016         X;6191800523135;P01326;SW-BAS-TRA-01;6;XL;16;VERTDEAU;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            007004         X;6191800522824;P01326;SW-BAS-TRA-01;7;XXL;4;BLEU/F;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            007005         X;6191800523067;P01326;SW-BAS-TRA-01;7;XXL;5;VERT/MIL;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            00700N         X;6191800522985;P01326;SW-BAS-TRA-01;7;XXL;00N;NOIR/DIP;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            00700R         X;6191800522909;P01326;SW-BAS-TRA-01;7;XXL;00R;blanccas;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            007016         X;6191800523142;P01326;SW-BAS-TRA-01;7;XXL;16;VERTDEAU;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            008004         X;6191800522831;P01326;SW-BAS-TRA-01;8;XXXL;4;BLEU/F;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            008005         X;6191800523074;P01326;SW-BAS-TRA-01;8;XXXL;5;VERT/MIL;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            00800N         X;6191800522992;P01326;SW-BAS-TRA-01;8;XXXL;00N;NOIR/DIP;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            00800R         X;6191800522916;P01326;SW-BAS-TRA-01;8;XXXL;00R;blanccas;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01326            008016         X;6191800523159;P01326;SW-BAS-TRA-01;8;XXXL;16;VERTDEAU;175;P  ;P05;   ;6;BAS;10/09/2024;175
P01327            001006         X;6191800523166;P01327;HO-BAS-TRA-02;1;XXS;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00100J         X;6191800523241;P01327;HO-BAS-TRA-02;1;XXS;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00100N         X;6191800523326;P01327;HO-BAS-TRA-02;1;XXS;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            002006         X;6191800523173;P01327;HO-BAS-TRA-02;2;XS;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00200J         X;6191800523258;P01327;HO-BAS-TRA-02;2;XS;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00200N         X;6191800523333;P01327;HO-BAS-TRA-02;2;XS;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            003006         X;6191800523180;P01327;HO-BAS-TRA-02;3;S;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00300J         X;6191800523265;P01327;HO-BAS-TRA-02;3;S;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00300N         X;6191800523340;P01327;HO-BAS-TRA-02;3;S;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            004006         X;6191800523197;P01327;HO-BAS-TRA-02;4;M;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00400J         X;6191800523272;P01327;HO-BAS-TRA-02;4;M;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00400N         X;6191800523357;P01327;HO-BAS-TRA-02;4;M;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            005006         X;6191800523203;P01327;HO-BAS-TRA-02;5;L;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00500J         X;6191800523289;P01327;HO-BAS-TRA-02;5;L;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00500N         X;6191800523364;P01327;HO-BAS-TRA-02;5;L;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            006006         X;6191800523210;P01327;HO-BAS-TRA-02;6;XL;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00600J         X;6191800523296;P01327;HO-BAS-TRA-02;6;XL;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00600N         X;6191800523371;P01327;HO-BAS-TRA-02;6;XL;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            007006         X;6191800523227;P01327;HO-BAS-TRA-02;7;XXL;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00700J         X;6191800523302;P01327;HO-BAS-TRA-02;7;XXL;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00700N         X;6191800523388;P01327;HO-BAS-TRA-02;7;XXL;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            008006         X;6191800523234;P01327;HO-BAS-TRA-02;8;XXXL;6;BEIGE;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00800J         X;6191800000000;P01327;HO-BAS-TRA-02;8;XXXL;00J;BLANC;175;P  ;P05;   ;46;BAS;10/09/2024;175
P01327            00800N         X;6191800000000;P01327;HO-BAS-TRA-02;8;XXXL;00N;NOIR/DIP;175;P  ;P05;   ;46;BAS;10/09/2024;175
