00188             005002         X,6191800120532,0,0,5,5,0,0,21,21
00188             005002         X,6191800120532,0,0,6,6,0,0,22,22
00188             005003         X,6191800014787,0,1,4,4,0,0,21,21
00188             005003         X,6191800014787,0,1,3,3,0,0,22,22
00340             00400W         X,6191800029873,0,2,1,1,0,0,21,21
00340             00400W         X,6191800029873,0,2,4,4,0,0,22,22
00188             005004         X,6191800015029,0,1,20,20,0,0,21,21
00188             005004         X,6191800015029,0,1,11,11,0,0,22,22
00340             004012         X,6191800030077,0,2,3,3,0,0,21,21
00340             004012         X,6191800030077,0,2,4,4,0,0,22,22
00188             005005         X,6191800014862,0,1,17,16,0,0,21,21
00188             005005         X,6191800014862,0,1,11,11,0,0,22,22
00340             004013         X,6191800029972,0,16,4,3,0,0,21,21
00340             004013         X,6191800029972,0,16,7,7,0,0,22,22
00188             00500C         X,6191800014947,0,1,1,1,0,0,21,21
00188             00500C         X,6191800014947,0,1,2,2,0,0,22,22
00188             00500O         X,6191800065314,0,33,2,2,0,0,21,21
00188             00500O         X,6191800065314,0,33,1,1,0,0,22,22
00340             005003         X,6191800029781,0,15,1,1,0,0,21,21
00340             005003         X,6191800029781,0,15,4,4,0,0,22,22
00188             00500Q         X,6191800120617,0,1,5,5,0,0,21,21
00188             00500Q         X,6191800120617,0,1,3,3,0,0,22,22
00340             005004         X,6191800030183,0,17,2,2,0,0,21,21
00340             005004         X,6191800030183,0,17,3,3,0,0,22,22
00188             005015         X,6191800014701,0,1,3,3,0,0,21,21
00188             005015         X,6191800014701,0,1,3,3,0,0,22,22
00340             00500W         X,6191800029880,0,4,2,2,0,0,21,21
00340             00500W         X,6191800029880,0,4,5,5,0,0,22,22
00188             00502N         X,6191800153158,0,21,6,6,0,0,21,21
00188             00502N         X,6191800153158,0,21,8,8,0,0,22,22
00340             005012         X,6191800030084,0,2,1,1,0,0,21,21
00340             005012         X,6191800030084,0,2,0,0,0,0,22,22
00188             006002         X,6191800120549,0,0,3,3,0,0,21,21
00188             006002         X,6191800120549,0,0,3,3,0,0,22,22
00340             005013         X,6191800029989,0,15,-1,-1,0,0,21,21
00340             005013         X,6191800029989,0,15,2,2,0,0,22,22
00188             006003         X,6191800014794,0,1,3,2,0,0,21,21
00188             006003         X,6191800014794,0,1,0,0,0,0,22,22
00340             006003         X,6191800029798,0,22,0,0,0,0,21,21
00340             006003         X,6191800029798,0,22,6,6,0,0,22,22
00188             006004         X,6191800015036,0,1,9,9,0,0,21,21
00188             006004         X,6191800015036,0,1,12,12,0,0,22,22
00340             006004         X,6191800030190,0,24,2,2,0,0,21,21
00340             006004         X,6191800030190,0,24,8,8,0,0,22,22
00188             006005         X,6191800014879,0,1,9,10,0,0,21,21
00188             006005         X,6191800014879,0,1,6,6,0,0,22,22
00188             00600C         X,6191800014954,0,1,1,1,0,0,21,21
